WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	Gene3D	G3DSA:3.90.550.20		127	568	9.1E-106	T	19-02-2019
WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	Gene3D	G3DSA:1.10.274.80		427	538	9.1E-106	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2531	2550	6.468	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2231	2250	6.973	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1964	1983	7.809	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2346	2365	9.72	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2551	2570	10.332	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2119	2138	9.099	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	SUPERFAMILY	SSF53448		1	540	0.0	T	19-02-2019	IPR029044	Nucleotide-diphospho-sugar transferases		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	CDD	cd16840	toxin_MLD	3	82	5.54441E-28	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1851	1870	9.951	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:2.10.270.10		2592	2685	4.8E-39	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:2.10.270.10		1893	1982	9.6E-30	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:2.10.270.10		2501	2589	1.1E-29	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:2.10.270.10		2029	2096	3.3E-24	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:2.10.270.10		2142	2230	1.7E-30	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2480	2499	8.578	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:1.10.3730.30		135	235	0.0	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2459	2478	10.216	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1985	2004	8.95	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	SUPERFAMILY	SSF69360		1810	1959	8.5E-24	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:3.90.550.20		95	523	0.0	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2622	2641	6.27	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	SUPERFAMILY	SSF69360		2056	2318	1.65E-45	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1810	1829	7.312	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	1852	1865	0.026	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	2552	2567	0.012	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	2643	2655	0.097	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	2460	2475	0.013	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	2191	2206	0.12	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	1944	1959	0.3	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	2099	2114	0.019	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	2347	2362	0.019	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	2078	2093	0.085	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	1987	2001	0.15	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	2305	2318	0.049	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF01473	Putative cell wall binding repeat	2326	2339	0.049	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2325	2344	9.447	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF12919	TcdA/TcdB catalytic glycosyltransferase domain	95	467	0.0	T	19-02-2019	IPR024770	TcdA/TcdB toxin, catalytic glycosyltransferase domain	GO:0016757	
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2642	2661	9.927	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF11713	Peptidase C80 family	577	756	2.7E-51	T	19-02-2019	IPR020974	CGT/MARTX, cysteine protease (CPD) domain		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:2.10.270.10		2097	2141	4.6E-13	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:2.10.270.10		1983	2028	1.4E-10	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2098	2117	10.092	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2057	2076	8.073	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2572	2591	6.146	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2170	2189	8.115	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1943	1962	8.834	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2284	2303	8.52	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2304	2323	9.48	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2211	2230	6.162	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF12918	TcdB toxin N-terminal helical domain	21	82	4.7E-13	T	19-02-2019	IPR024772	TcdA/TcdB toxin, N-terminal helical domain		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	SUPERFAMILY	SSF69360		1924	2041	1.31E-25	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	SUPERFAMILY	SSF69360		2532	2684	1.18E-26	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2006	2025	7.957	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2418	2437	7.957	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2438	2457	8.479	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1872	1891	8.727	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	SUPERFAMILY	SSF69360		2231	2400	5.36E-32	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2190	2209	9.281	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Pfam	PF12920	TcdA/TcdB pore forming domain	865	1524	0.0	T	19-02-2019	IPR024769	TcdA/TcdB toxin, pore forming domain	GO:0009405	
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2367	2386	9.232	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:1.10.274.80		392	492	0.0	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2077	2096	9.314	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:2.10.270.10		2364	2500	4.1E-56	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:2.10.270.10		2246	2363	7.5E-46	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:2.10.270.10		1753	1892	6.9E-26	T	19-02-2019
WP_080132421.1	a568676be820c4b4f1499afb0be5405b	3224	Pfam	PF12918	TcdB toxin N-terminal helical domain	185	246	6.2E-14	T	19-02-2019	IPR024772	TcdA/TcdB toxin, N-terminal helical domain		
WP_080132421.1	a568676be820c4b4f1499afb0be5405b	3224	Pfam	PF12919	TcdA/TcdB catalytic glycosyltransferase domain	278	728	2.2E-107	T	19-02-2019	IPR024770	TcdA/TcdB toxin, catalytic glycosyltransferase domain	GO:0016757	
WP_080132421.1	a568676be820c4b4f1499afb0be5405b	3224	Pfam	PF11996	Protein of unknown function (DUF3491)	2167	3099	0.0	T	19-02-2019	IPR021882	Protein of unknown function DUF3491		
WP_080132421.1	a568676be820c4b4f1499afb0be5405b	3224	MobiDBLite	mobidb-lite	consensus disorder prediction	1	22	-	T	19-02-2019
WP_080132421.1	a568676be820c4b4f1499afb0be5405b	3224	MobiDBLite	mobidb-lite	consensus disorder prediction	158	181	-	T	19-02-2019
WP_080132421.1	a568676be820c4b4f1499afb0be5405b	3224	SUPERFAMILY	SSF53448		188	817	3.19E-124	T	19-02-2019	IPR029044	Nucleotide-diphospho-sugar transferases		
WP_080132421.1	a568676be820c4b4f1499afb0be5405b	3224	TIGRFAM	TIGR01586	yopT_cys_prot: cysteine protease domain, YopT-type	1448	1619	5.5E-35	T	19-02-2019	IPR006473	Peptidase C58, YopT-type domain	GO:0004197|GO:0009405	
WP_080132421.1	a568676be820c4b4f1499afb0be5405b	3224	Coils	Coil		435	466	-	T	19-02-2019
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	Coils	Coil		400	447	-	T	19-02-2019
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	Pfam	PF12918	TcdB toxin N-terminal helical domain	219	280	2.3E-16	T	19-02-2019	IPR024772	TcdA/TcdB toxin, N-terminal helical domain		
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	Coils	Coil		481	508	-	T	19-02-2019
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	Coils	Coil		1055	1078	-	T	19-02-2019
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	Coils	Coil		238	261	-	T	19-02-2019
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	Pfam	PF11996	Protein of unknown function (DUF3491)	2283	3240	0.0	T	19-02-2019	IPR021882	Protein of unknown function DUF3491		
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	MobiDBLite	mobidb-lite	consensus disorder prediction	1058	1095	-	T	19-02-2019
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	MobiDBLite	mobidb-lite	consensus disorder prediction	110	133	-	T	19-02-2019
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	MobiDBLite	mobidb-lite	consensus disorder prediction	110	165	-	T	19-02-2019
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	Gene3D	G3DSA:3.90.550.20		496	758	6.4E-36	T	19-02-2019
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	TIGRFAM	TIGR01586	yopT_cys_prot: cysteine protease domain, YopT-type	1563	1745	6.2E-37	T	19-02-2019	IPR006473	Peptidase C58, YopT-type domain	GO:0004197|GO:0009405	
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	SUPERFAMILY	SSF53448		240	890	6.94E-125	T	19-02-2019	IPR029044	Nucleotide-diphospho-sugar transferases		
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	Pfam	PF12919	TcdA/TcdB catalytic glycosyltransferase domain	327	795	0.0	T	19-02-2019	IPR024770	TcdA/TcdB toxin, catalytic glycosyltransferase domain	GO:0016757	
WP_080132420.1	6d13aa5a02d5c5afdee178878e993a70	3364	Coils	Coil		1173	1211	-	T	19-02-2019
WP_102620086.1	9a04e37b82692ab6fcd12e8d4ada59bf	2379	Pfam	PF12919	TcdA/TcdB catalytic glycosyltransferase domain	126	513	8.7E-67	T	19-02-2019	IPR024770	TcdA/TcdB toxin, catalytic glycosyltransferase domain	GO:0016757	
WP_102620086.1	9a04e37b82692ab6fcd12e8d4ada59bf	2379	SUPERFAMILY	SSF53448		87	585	6.56E-71	T	19-02-2019	IPR029044	Nucleotide-diphospho-sugar transferases		
WP_102620086.1	9a04e37b82692ab6fcd12e8d4ada59bf	2379	Gene3D	G3DSA:3.90.550.20		126	567	6.6E-96	T	19-02-2019
WP_102620086.1	9a04e37b82692ab6fcd12e8d4ada59bf	2379	Gene3D	G3DSA:1.10.3730.30		168	262	6.6E-96	T	19-02-2019
WP_102620086.1	9a04e37b82692ab6fcd12e8d4ada59bf	2379	MobiDBLite	mobidb-lite	consensus disorder prediction	78	98	-	T	19-02-2019
WP_102620086.1	9a04e37b82692ab6fcd12e8d4ada59bf	2379	Gene3D	G3DSA:1.10.274.80		426	539	6.6E-96	T	19-02-2019
WP_102620086.1	9a04e37b82692ab6fcd12e8d4ada59bf	2379	Pfam	PF12920	TcdA/TcdB pore forming domain	1071	1715	1.0E-109	T	19-02-2019	IPR024769	TcdA/TcdB toxin, pore forming domain	GO:0009405	
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2472	2491	9.447	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2140	2159	9.885	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2711	2730	10.216	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1943	1962	8.843	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	SUPERFAMILY	SSF69360		2784	2936	2.2E-26	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2670	2689	7.957	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Gene3D	G3DSA:1.10.274.80		392	492	0.0	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2803	2822	10.332	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2535	2554	9.447	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	SUPERFAMILY	SSF69360		2494	2652	4.71E-38	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51771	CGT/MARTX cysteine protease (CPD) domain profile.	569	776	60.931	T	19-02-2019	IPR020974	CGT/MARTX, cysteine protease (CPD) domain		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Gene3D	G3DSA:2.10.270.10		2533	2575	6.2E-18	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2598	2617	9.72	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2203	2222	10.092	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Coils	Coil		48	68	-	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2224	2243	9.099	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2057	2076	8.098	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1964	1983	7.809	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	SUPERFAMILY	SSF69360		1810	1959	2.49E-23	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2295	2314	9.281	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2493	2512	9.447	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	SUPERFAMILY	SSF69360		2291	2467	3.34E-19	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2619	2638	9.232	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Gene3D	G3DSA:1.10.3730.30		135	235	0.0	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1923	1942	8.098	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	SUPERFAMILY	SSF53448		1	540	0.0	T	19-02-2019	IPR029044	Nucleotide-diphospho-sugar transferases		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	CDD	cd16840	toxin_MLD	3	82	3.91842E-28	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1851	1870	9.951	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2119	2138	9.885	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Gene3D	G3DSA:1.20.58.1190		5	89	9.5E-39	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2451	2470	9.447	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Gene3D	G3DSA:2.10.270.10		2619	2752	1.4E-56	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Gene3D	G3DSA:2.10.270.10		1752	1892	8.6E-26	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Gene3D	G3DSA:2.10.270.10		2351	2469	2.4E-45	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Gene3D	G3DSA:2.10.270.10		2470	2532	1.0E-24	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Gene3D	G3DSA:2.10.270.10		2179	2244	1.0E-28	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Gene3D	G3DSA:2.10.270.10		2117	2178	6.7E-26	T	19-02-2019
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2690	2709	8.479	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	Pfam	PF11713	Peptidase C80 family	577	756	3.0E-51	T	19-02-2019	IPR020974	CGT/MARTX, cysteine protease (CPD) domain		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1985	2004	8.95	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
EQG69750.1	31f55fae113ed691769f1ad444594652	2941	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2161	2180	9.885	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
